label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63
present,17.25,17.5,17.5,18.0,17.5,18.25,18.25,18.5,17.5,17.0,17.5,17.5,18.0,18.5,17.25,18.0,17.25,17.75,17.75,18.0,17.0,18.0,18.0,18.5,16.75,17.75,17.5,17.5,17.5,17.25,17.25,17.25,17.0,17.75,17.5,17.75,17.0,17.5,16.5,17.25,17.5,17.0,17.25,17.25,17.0,17.0,16.75,17.0,17.0,17.0,16.75,17.5,17.25,17.25,16.75,17.0,17.25,17.5,17.0,16.5,17.0,17.5,17.0,17.75
empty,17.75,17.25,17.5,17.75,17.25,18.0,18.25,17.5,17.5,17.5,17.25,17.25,17.75,18.25,18.0,17.5,17.25,17.75,17.75,18.0,17.25,17.75,17.5,17.5,17.0,17.5,17.25,17.25,17.75,17.25,17.5,17.5,17.25,17.5,17.5,17.5,17.5,17.0,17.25,17.0,17.5,17.5,17.25,17.75,17.5,17.25,16.5,17.5,17.0,17.0,16.75,17.5,17.0,17.25,17.25,17.5,17.5,17.25,17.5,17.25,17.0,17.25,16.5,17.25
present,21.25,21.25,21.5,21.75,22.0,21.75,22.25,22.25,21.5,21.75,21.75,22.0,22.5,22.5,22.0,22.0,21.5,22.0,22.5,23.0,22.5,22.75,22.75,23.0,21.5,22.5,22.5,23.25,23.25,22.5,22.5,22.25,21.75,22.5,23.0,23.0,23.0,22.75,22.25,22.75,22.5,22.75,22.75,22.75,22.75,22.5,22.0,22.25,21.75,22.5,22.25,22.75,22.25,22.25,22.0,23.0,22.0,22.0,22.25,21.75,22.5,22.25,22.25,22.5
empty,19.0,19.25,19.5,19.5,19.75,20.0,20.0,20.5,19.25,19.5,19.75,20.0,20.0,20.75,19.75,20.25,19.75,20.5,20.25,20.75,20.0,19.5,20.25,20.5,19.5,20.25,19.75,20.0,20.25,20.0,19.75,20.75,19.75,20.0,19.75,20.5,20.0,19.5,19.75,20.0,19.5,19.75,19.75,20.0,20.0,19.5,19.5,20.75,19.5,19.25,19.75,19.75,20.0,20.0,20.25,20.5,19.75,20.0,20.5,19.5,20.0,20.0,19.75,20.0
present,18.25,18.25,19.0,19.25,18.75,19.0,18.5,19.5,18.25,18.25,19.0,18.5,19.0,19.25,18.5,19.75,17.75,18.5,18.75,18.75,18.5,18.75,19.25,19.0,18.5,18.25,19.0,19.0,18.5,18.75,18.5,19.25,18.5,19.0,19.0,18.5,18.75,18.5,18.25,18.5,19.0,18.5,18.5,18.75,18.75,18.75,18.25,19.25,18.75,18.75,18.25,18.5,18.25,18.75,18.75,19.0,18.75,18.5,18.5,18.0,18.25,18.5,18.0,18.5
empty,18.0,18.25,18.25,18.75,18.75,19.0,18.5,19.25,18.5,18.5,18.0,18.0,18.75,18.5,18.25,19.0,17.75,18.5,18.75,19.0,18.5,18.25,18.5,19.25,17.75,18.0,18.5,18.5,18.75,18.25,18.5,18.5,17.75,18.25,18.25,18.75,18.25,18.25,18.25,18.5,18.0,18.0,18.5,18.5,18.0,18.0,17.5,18.75,18.0,18.5,18.5,18.25,18.25,18.5,18.25,18.5,18.25,18.25,18.75,18.25,18.25,18.0,17.5,18.75
present,18.0,17.75,18.25,18.0,18.25,18.25,18.5,18.5,17.75,17.25,18.0,17.75,18.5,18.5,18.0,18.5,17.75,18.0,18.0,18.25,18.0,18.0,17.75,18.5,17.75,17.75,18.0,18.25,17.75,17.75,18.0,17.75,17.5,18.25,18.0,18.0,17.5,17.25,17.5,17.75,18.0,17.75,17.75,17.75,17.75,17.25,17.0,18.0,17.5,17.25,17.5,17.75,17.5,17.75,17.5,18.0,17.75,18.25,18.0,17.25,17.5,18.0,17.25,18.0
empty,18.0,17.75,17.75,18.25,18.0,18.5,18.0,18.25,17.5,17.75,17.5,17.5,18.5,18.5,18.0,18.5,17.5,17.5,18.25,18.25,18.0,17.75,18.25,18.75,17.25,17.75,17.25,17.5,17.75,17.5,17.75,17.5,17.75,18.0,18.0,18.0,17.5,17.25,17.5,17.75,18.0,17.75,18.0,17.5,17.5,17.5,17.75,18.25,17.75,17.75,18.0,17.5,17.75,17.75,17.75,18.0,17.5,17.25,17.5,17.0,17.5,17.25,16.75,17.25
present,17.5,17.25,17.75,17.75,17.5,18.0,18.75,18.5,17.5,17.5,17.25,17.75,18.25,18.0,17.75,18.0,17.25,17.5,18.0,18.0,17.75,18.0,18.0,17.75,17.0,17.5,17.25,17.75,17.25,17.25,17.0,18.0,17.5,18.5,17.75,17.75,17.25,17.25,17.25,17.75,18.25,17.75,17.25,17.5,17.5,17.25,17.5,18.0,17.0,17.0,17.0,17.75,17.75,18.25,17.0,17.25,18.0,17.25,17.0,17.25,17.25,17.25,17.25,17.75
empty,17.25,17.75,17.75,17.75,17.5,18.25,18.25,18.0,17.25,17.75,17.25,17.5,17.75,18.0,17.75,18.0,18.0,16.75,17.75,18.0,17.25,18.0,18.0,18.25,17.5,17.25,17.5,18.0,18.0,17.25,17.5,17.75,17.25,17.75,17.5,17.5,17.5,17.25,16.75,17.5,17.75,17.25,17.5,18.0,17.25,16.75,17.0,18.0,17.0,17.25,17.5,18.0,17.25,17.0,17.5,17.5,18.25,17.5,17.5,16.75,17.25,17.75,17.0,17.75
