color,rssi,timestamp
red,-38,12345
color,rssi,timestamp
red,-37,12345
color,rssi,timestamp
red,-37,12345
color,rssi,timestamp
red,-37,12345
color,rssi,timestamp
red,-38,12345
color,rssi,timestamp
red,-38,12345
color,rssi,timestamp
red,-39,12345
color,rssi,timestamp
blue,-39,12345
color,rssi,timestamp
blue,-38,12345
color,rssi,timestamp
green,-39,12345
color,rssi,timestamp
off,-38,12345
color,rssi,timestamp
off,-38,12345
